Feature,Importance
CustomerID_C2688,0
CustomerID_C2687,0
CustomerID_C2742,0
CustomerID_C2744,0
CustomerID_C2821,0
CustomerID_C2793,0
CustomerID_C2800,0
CustomerID_C2799,0
CustomerID_C2798,0
CustomerID_C2797,0
CustomerID_C2796,0
CustomerID_C2795,0
CustomerID_C2794,0
CustomerID_C2792,0
CustomerID_C2802,0
CustomerID_C2791,0
CustomerID_C2790,0
CustomerID_C2789,0
CustomerID_C2788,0
CustomerID_C2787,0
CustomerID_C2786,0
CustomerID_C2785,0
CustomerID_C2801,0
CustomerID_C2803,0
CustomerID_C2745,0
CustomerID_C2813,0
CustomerID_C2820,0
CustomerID_C2819,0
CustomerID_C2818,0
CustomerID_C2817,0
CustomerID_C2816,0
CustomerID_C2815,0
CustomerID_C2814,0
CustomerID_C2812,0
CustomerID_C2804,0
CustomerID_C2811,0
CustomerID_C2810,0
CustomerID_C2809,0
CustomerID_C2808,0
CustomerID_C2807,0
CustomerID_C2806,0
CustomerID_C2805,0
CustomerID_C2784,0
CustomerID_C2783,0
CustomerID_C2782,0
CustomerID_C2754,0
CustomerID_C2761,0
CustomerID_C2760,0
CustomerID_C2759,0
CustomerID_C2758,0
CustomerID_C2757,0
CustomerID_C2756,0
CustomerID_C2755,0
CustomerID_C2753,0
CustomerID_C2781,0
CustomerID_C2752,0
CustomerID_C2751,0
CustomerID_C2750,0
CustomerID_C2749,0
CustomerID_C2748,0
CustomerID_C2747,0
CustomerID_C2746,0
CustomerID_C2762,0
CustomerID_C2763,0
CustomerID_C2764,0
CustomerID_C2765,0
CustomerID_C2780,0
CustomerID_C2779,0
CustomerID_C2778,0
CustomerID_C2777,0
CustomerID_C2776,0
CustomerID_C2775,0
CustomerID_C2774,0
CustomerID_C2773,0
CustomerID_C2772,0
CustomerID_C2771,0
CustomerID_C2770,0
CustomerID_C2769,0
CustomerID_C2768,0
CustomerID_C2767,0
CustomerID_C2766,0
CustomerID_C2979,0
CustomerID_C2980,0
CustomerID_C2981,0
CustomerID_C3187,0
CustomerID_C3194,0
CustomerID_C3193,0
CustomerID_C3192,0
CustomerID_C3191,0
CustomerID_C3190,0
CustomerID_C3189,0
CustomerID_C3188,0
CustomerID_C3186,0
CustomerID_C3196,0
CustomerID_C3185,0
CustomerID_C3184,0
CustomerID_C3183,0
CustomerID_C3182,0
CustomerID_C3181,0
CustomerID_C3180,0
CustomerID_C3179,0
CustomerID_C3195,0
CustomerID_C3197,0
CustomerID_C3216,0
CustomerID_C3207,0
CustomerID_C3214,0
CustomerID_C3213,0
CustomerID_C3212,0
CustomerID_C3211,0
CustomerID_C3210,0
CustomerID_C3209,0
CustomerID_C3208,0
CustomerID_C3206,0
CustomerID_C3198,0
CustomerID_C3205,0
CustomerID_C3204,0
CustomerID_C3203,0
CustomerID_C3202,0
CustomerID_C3201,0
CustomerID_C3200,0
CustomerID_C3199,0
CustomerID_C3178,0
CustomerID_C3177,0
CustomerID_C3176,0
CustomerID_C3148,0
CustomerID_C3155,0
CustomerID_C3154,0
CustomerID_C3153,0
CustomerID_C3152,0
CustomerID_C3151,0
CustomerID_C3150,0
CustomerID_C3149,0
CustomerID_C3147,0
CustomerID_C3175,0
CustomerID_C3146,0
CustomerID_C3145,0
CustomerID_C3144,0
CustomerID_C3143,0
CustomerID_C3142,0
CustomerID_C3141,0
CustomerID_C3140,0
CustomerID_C3156,0
CustomerID_C3157,0
CustomerID_C3158,0
CustomerID_C3159,0
CustomerID_C3174,0
CustomerID_C3173,0
CustomerID_C3172,0
CustomerID_C3171,0
CustomerID_C3170,0
CustomerID_C3169,0
CustomerID_C3168,0
CustomerID_C3167,0
CustomerID_C3166,0
CustomerID_C3165,0
CustomerID_C3164,0
CustomerID_C3163,0
CustomerID_C3162,0
CustomerID_C3161,0
CustomerID_C3160,0
CustomerID_C3215,0
CustomerID_C3217,0
CustomerID_C2982,0
CustomerID_C3266,0
CustomerID_C3273,0
CustomerID_C3272,0
CustomerID_C3271,0
CustomerID_C3270,0
CustomerID_C3269,0
CustomerID_C3268,0
CustomerID_C3267,0
CustomerID_C3265,0
CustomerID_C3275,0
CustomerID_C3264,0
CustomerID_C3263,0
CustomerID_C3262,0
CustomerID_C3261,0
CustomerID_C3260,0
CustomerID_C3259,0
CustomerID_C3258,0
CustomerID_C3927,0
CustomerID_C3276,0
CustomerID_C3218,0
CustomerID_C3286,0
CustomerID_C3293,0
CustomerID_C3292,0
CustomerID_C3291,0
CustomerID_C3290,0
CustomerID_C3289,0
CustomerID_C3288,0
CustomerID_C3287,0
CustomerID_C3285,0
CustomerID_C3277,0
CustomerID_C3284,0
CustomerID_C3283,0
CustomerID_C3282,0
CustomerID_C3281,0
CustomerID_C3280,0
CustomerID_C3279,0
CustomerID_C3278,0
CustomerID_C3257,0
CustomerID_C3256,0
CustomerID_C3255,0
CustomerID_C3227,0
CustomerID_C3234,0
CustomerID_C3233,0
CustomerID_C3232,0
CustomerID_C3231,0
CustomerID_C3230,0
CustomerID_C3229,0
CustomerID_C3228,0
CustomerID_C3226,0
CustomerID_C3254,0
CustomerID_C3225,0
CustomerID_C3224,0
CustomerID_C3223,0
CustomerID_C3222,0
CustomerID_C3221,0
CustomerID_C3220,0
CustomerID_C3219,0
CustomerID_C3235,0
CustomerID_C3236,0
CustomerID_C3237,0
CustomerID_C3238,0
CustomerID_C3253,0
CustomerID_C3252,0
CustomerID_C3251,0
CustomerID_C3250,0
CustomerID_C3249,0
CustomerID_C3248,0
CustomerID_C3247,0
CustomerID_C3246,0
CustomerID_C3245,0
CustomerID_C3244,0
CustomerID_C3243,0
CustomerID_C3242,0
CustomerID_C3241,0
CustomerID_C3240,0
CustomerID_C3239,0
CustomerID_C3139,0
CustomerID_C3138,0
CustomerID_C3137,0
CustomerID_C3030,0
CustomerID_C3037,0
